adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0
UA5902003,Burynska,Sumska,Sumy,33.82646669626774,51.14905696328835,1,-9.747037974461831,2
UA5902005,Duboviazivska,Sumska,Sumy,33.48113872515091,51.11942669998183,0,5.923481037995593,0
UA5902007,Konotopska,Sumska,Sumy,33.225753531130955,51.20916885907258,1,-2.4408794935656744,8
UA5902009,Krolevetska,Sumska,Sumy,33.44046752104762,51.534299507118725,0,17.72242881553799,0
UA5902011,Novoslobidska,Sumska,Sumy,34.09873508357985,51.33212659853135,0,10.247318413854613,0
UA5902013,Popivska,Sumska,Sumy,33.18701568340929,51.16517598913782,0,0.47199218685701877,0
UA5902015,Putyvlska,Sumska,Sumy,33.90705985264121,51.404430240810676,0,4.505710535097613,0
UA5904001,Boromlianska,Sumska,Sumy,35.0167253270078,50.64183463096897,1,-8.285881493183755,1
UA5904003,Velykopysarivska,Sumska,Sumy,35.429749443006294,50.41078109474686,1,-12.928821876472172,4
UA5904005,Hrunska,Sumska,Sumy,34.63620711421246,50.21262154021569,0,5.868700506948209,0
UA5904007,Kyrykivska,Sumska,Sumy,35.182731224708675,50.318961668950756,0,6.2683516857870085,0
UA5904009,Komyshanska,Sumska,Sumy,34.510512061991236,50.31811100538164,0,3.039312788029846,0
UA5904011,Okhtyrska,Sumska,Sumy,34.87175819802736,50.35144854013526,1,-11.338009471066048,27
UA5904013,Trostianetska,Sumska,Sumy,34.98958501816855,50.49202743403565,1,-12.771319312987972,17
UA5904015,Chernechchynska,Sumska,Sumy,34.90264367688965,50.26730791969343,1,-10.121624255204924,1
UA5904017,Chupakhivska,Sumska,Sumy,34.6370883760884,50.39745371661806,1,-6.0134369152806055,2
UA5906001,Andriiashivska,Sumska,Sumy,33.33312446681639,50.58733926259122,0,6.26433925992257,0
