adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022,adm3_name_en,adm3_name_uk,month,pit_total_uah,month_dt,year,month_num,post_invasion,during_occ,post_lib,log_pit,pit_military_uah,pit_civilian_uah,share_military,share_civilian,pop_2022,kse_war_zone_apr2022,pit_total_pc,pit_civilian_pc,pit_military_pc,log_pit_pc,log_pit_civ_pc
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-01,868616.78,2021-01-01,2021.0,1.0,0,0,0,13.674658468594748,0.0,868616.78,0.0,1.0,4287.0,0.0,202.61646372754842,202.61646372754842,0.0,5.316238144509031,5.316238144509031
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-02,2507981.11,2021-02-01,2021.0,2.0,0,0,0,14.734989047535665,0.0,2507981.11,0.0,1.0,4287.0,0.0,585.020086307441,585.020086307441,0.0,6.373354065964726,6.373354065964726
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-03,3855264.63,2021-03-01,2021.0,3.0,0,0,0,15.164950467923472,0.0,3855264.63,0.0,1.0,4287.0,0.0,899.2919594121763,899.2919594121763,0.0,6.802719110065082,6.802719110065082
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-04,5034159.88,2021-04-01,2021.0,4.0,0,0,0,15.4317574128477,0.0,5034159.88,0.0,1.0,4287.0,0.0,1174.285019827385,1174.285019827385,0.0,7.069265967228757,7.069265967228757
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-05,6208446.050000001,2021-05-01,2021.0,5.0,0,0,0,15.64142135017256,0.0,6208446.050000001,0.0,1.0,4287.0,0.0,1448.2029507814325,1448.2029507814325,0.0,7.278768995163917,7.278768995163917
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-06,7878794.210000001,2021-06-01,2021.0,6.0,0,0,0,15.87968555801289,0.0,7878794.210000001,0.0,1.0,4287.0,0.0,1837.8339654770239,1837.8339654770239,0.0,7.516886935306518,7.516886935306518
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-07,9841329.29,2021-07-01,2021.0,7.0,0,0,0,16.102101451963982,0.0,9841329.29,0.0,1.0,4287.0,0.0,2295.6214812222997,2295.6214812222997,0.0,7.739194400787111,7.739194400787111
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-08,11517051.19,2021-08-01,2021.0,8.0,0,0,0,16.259339294202814,0.0,11517051.19,0.0,1.0,4287.0,0.0,2686.5059925355727,2686.5059925355727,0.0,7.89636890221411,7.89636890221411
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-09,13611779.5,2021-09-01,2021.0,9.0,0,0,0,16.426446188995396,0.0,13611779.5,0.0,1.0,4287.0,0.0,3175.1293445299743,3175.1293445299743,0.0,8.063418547145435,8.063418547145435
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-10,14951893.7,2021-10-01,2021.0,10.0,0,0,0,16.520348585556622,0.0,14951893.7,0.0,1.0,4287.0,0.0,3487.7288780032654,3487.7288780032654,0.0,8.157292730515692,8.157292730515692
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-11,16918935.310000002,2021-11-01,2021.0,11.0,0,0,0,16.643944044326968,0.0,16918935.31,0.0,0.9999999999999998,4287.0,0.0,3946.567602052718,3946.567602052717,0.0,8.280854871265674,8.280854871265673
