month,delta,se,p,ci_lo,ci_hi,month_dt,rel_month
2021-01,0.033630838560634355,0.05532535182046772,0.5432710970932564,-0.07480685100748238,0.1420685281287511,2021-01-01,-13
2021-02,-0.014902013979259401,0.036794805318193506,0.6854751571181101,-0.08701983240291868,0.05721580444439987,2021-02-01,-12
2021-03,-0.04559271041761941,0.03690388153837459,0.2166649894146232,-0.11792431823283361,0.02673889739759478,2021-03-01,-11
2021-04,-0.07731545916014519,0.03811466967913395,0.04250963997133636,-0.15202021173124775,-0.0026107065890426523,2021-04-01,-10
2021-05,-0.07209697249447736,0.03760127799401532,0.05518618196400296,-0.1457954773627474,0.0016015323737926662,2021-05-01,-9
2021-06,-0.07546160517246939,0.03702480144546205,0.041536267747871544,-0.148030216005575,-0.002892994339363769,2021-06-01,-8
2021-07,-0.08999703956577898,0.03753361392204098,0.01649513981176947,-0.1635629228529793,-0.016431156278578662,2021-07-01,-7
2021-08,-0.10637456922979083,0.03709014914085359,0.0041307477677926955,-0.17907126154586386,-0.03367787691371779,2021-08-01,-6
2021-09,-0.11611614754159647,0.0367877209326235,0.0015973880081531307,-0.18822008056953854,-0.044012214513654405,2021-09-01,-5
2021-10,-0.1264600322266196,0.036708544372549085,0.0005711113716391492,-0.19840877919681582,-0.0545112852564234,2021-10-01,-4
2021-11,-0.1400947747028714,0.037403746771993776,0.00018005323284674973,-0.21340611837597923,-0.0667834310297636,2021-11-01,-3
2021-12,-0.13790671558327042,0.03808129980193604,0.00029303994338836486,-0.21254606319506505,-0.06326736797147578,2021-12-01,-2
2022-01,0.0,0.0,1.0,0.0,0.0,2022-01-01,-1
2022-02,-0.030832904907785463,0.03157746998795521,0.32885587771785807,-0.09272474608417766,0.03105893626860674,2022-02-01,0
2022-03,-0.014216690024318579,0.03715752079602593,0.7020119283611194,-0.0870454307845294,0.05861205073589225,2022-03-01,1
2022-04,-0.01391914894908497,0.04503956519817156,0.7572890437377139,-0.10219669673750123,0.07435839883933129,2022-04-01,2
2022-05,-0.036422459636323005,0.05978876858024025,0.5424013932362735,-0.1536084460535939,0.08076352678094789,2022-05-01,3
2022-06,-0.030922178959909938,0.065799209463786,0.6383924727165649,-0.15988862950893046,0.0980442715891106,2022-06-01,4
2022-07,-0.0607758809981308,0.07123384344941634,0.39355489677199407,-0.20039421415898684,0.07884245216272523,2022-07-01,5
2022-08,-0.06687149891970796,0.07544597760311622,0.3754292629140822,-0.21474561502181577,0.08100261718239983,2022-08-01,6
2022-09,-0.08491918649819352,0.07949144076490326,0.28539382936920876,-0.2407224103974039,0.07088403740101687,2022-09-01,7
2022-10,-0.12180067380711443,0.08426060868487516,0.14831095091953472,-0.2869514668294697,0.04335011921524087,2022-10-01,8
2022-11,-0.15591126604104089,0.08905701168799751,0.07999923338960742,-0.33046300894951597,0.018640476867434225,2022-11-01,9
2022-12,-0.20631890650275142,0.09095650589669968,0.023309411782622805,-0.3845936580602828,-0.028044154945220057,2022-12-01,10
2023-01,-0.28339421071623844,0.14600781450049294,0.05226405729711096,-0.5695695271372045,0.0027811057047277266,2023-01-01,11
2023-02,-0.2661036266226336,0.13028214584019396,0.04110017679520661,-0.5214566324694138,-0.010750620775853426,2023-02-01,12
2023-03,-0.26795530011178625,0.12129220708569616,0.02716270693614656,-0.5056880259997507,-0.030222574223821796,2023-03-01,13
2023-04,-0.2391038224677691,0.11892716168868525,0.04437761708238015,-0.47220105937759216,-0.006006585557946004,2023-04-01,14
2023-05,-0.23406087576645923,0.11697274455918605,0.04539385117014647,-0.46332745510246387,-0.004794296430454592,2023-05-01,15
2023-06,-0.22855766859393054,0.11299350268054018,0.04309887330766989,-0.4500249338477893,-0.007090403340071799,2023-06-01,16
2023-07,-0.21113826016738113,0.11304004029899793,0.061787396526687514,-0.4326967391534171,0.01042021881865482,2023-07-01,17
2023-08,-0.20252452734300974,0.11207576624076825,0.07075724635152522,-0.4221930291749155,0.017143974488896013,2023-08-01,18
2023-09,-0.18546733251025338,0.1133120629323208,0.10167568217763755,-0.40755897585760215,0.036624310837095386,2023-09-01,19
2023-10,-0.17848587120403922,0.11369224158488762,0.1164375157100943,-0.401322664710419,0.04435092230234053,2023-10-01,20
2023-11,-0.19514495884408722,0.10604121714249859,0.06572793194960293,-0.4029857444433844,0.012695826755209999,2023-11-01,21
2023-12,-0.20674937967159843,0.10188090545729502,0.04242528729050175,-0.40643595436789665,-0.0070628049753002076,2023-12-01,22
2024-01,-0.08749526347609328,0.08778366350806607,0.31890303646581497,-0.25955124395190277,0.08456071699971622,2024-01-01,23
2024-02,-0.06955665577431727,0.08098310291518637,0.3903938588400595,-0.22828353748808256,0.08917022593944801,2024-02-01,24
2024-03,-0.06737981637189883,0.08086482288523984,0.40470930837367547,-0.22587486922696892,0.09111523648317127,2024-03-01,24
2024-04,-0.0757869556807722,0.08150184351681622,0.35243308312535304,-0.23553056897373198,0.08395665761218757,2024-04-01,25
2024-05,-0.0840251925725898,0.08288207445177329,0.3106819642016314,-0.24647405849806542,0.07842367335288584,2024-05-01,26
2024-06,-0.09911313389217709,0.08222771644960605,0.22806842207411981,-0.260279458133405,0.06205319034905078,2024-06-01,27
2024-07,-0.10215389744708082,0.08345300608393391,0.2209186973024071,-0.2657217893715913,0.06141399447742964,2024-07-01,28
2024-08,-0.11427816594747364,0.08421965817366779,0.17481105580844924,-0.2793486959678625,0.050792364072915236,2024-08-01,29
2024-09,-0.1446626075395059,0.08664014357590795,0.09497973947992332,-0.3144772889482855,0.025152073869273678,2024-09-01,30
2024-10,-0.1707016436624125,0.08628300548700744,0.0478844546672636,-0.3398163344169471,-0.0015869529078779143,2024-10-01,31
2024-11,-0.17786768862354918,0.08682357139846308,0.040500207383748016,-0.3480418885645368,-0.007693488682561533,2024-11-01,32
2024-12,-0.16175715572837124,0.08666003163380584,0.06196143370806818,-0.33161081773063067,0.008096506273888193,2024-12-01,33
