source,month,region_raw,new_companies,new_fops
opendatabot_html,2024-03,Харківська,2026,59
opendatabot_html,2024-04,Харківська,2026,59
opendatabot_html,2024-05,Харківська,2026,59
opendatabot_html,2024-06,Харківська,2026,59
opendatabot_html,2024-07,Харківська,2026,59
opendatabot_html,2024-08,Харківська,2026,59
opendatabot_html,2024-09,Харківська,2026,59
opendatabot_html,2024-10,Харківська,2026,59
opendatabot_html,2024-11,Харківська,2026,59
opendatabot_html,2024-12,Харківська,2026,59
