REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2023;C;1855100000;24060300;Інші надходження;8000;;0
01.2023;T;1855100000;24060300;Інші надходження;8000;0;0
01.2023;S;1855100000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1183786;1183786;20002.94
01.2023;T;1855100000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1183786;1183786;20002.94
01.2023;S;1855100000;25020000;Інші джерела власних надходжень бюджетних установ;0;223520.53;227324.86
01.2023;T;1855100000;25020000;Інші джерела власних надходжень бюджетних установ;0;223520.53;227324.86
01.2023;C;1855100000;41020100;Базова дотація;7534000;;627800
01.2023;T;1855100000;41020100;Базова дотація;7534000;0;627800
01.2023;C;1855100000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;17202900;;1344300
01.2023;T;1855100000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;17202900;0;1344300
01.2023;C;1855100000;41053900;Інші субвенції з місцевого бюджету;2918771;;277173
01.2023;T;1855100000;41053900;Інші субвенції з місцевого бюджету;2918771;0;277173
01.2023;C;1855100000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;21000;;0
01.2023;T;1855100000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;21000;0;0
01.2023;C;1855100000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;16699510;;1237038.91
01.2023;T;1855100000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;16699510;0;1237038.91
01.2023;C;1855100000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;6043200;;1382471.61
01.2023;T;1855100000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;6043200;0;1382471.61
01.2023;C;1855100000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;622600;;1071007.85
01.2023;T;1855100000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;622600;0;1071007.85
01.2023;C;1855100000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;248080;;14183.62
01.2023;T;1855100000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;248080;0;14183.62
01.2023;C;1855100000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2092389;;0
01.2023;T;1855100000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2092389;0;0
01.2023;C;1855100000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);825530;;0
01.2023;T;1855100000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);825530;0;0
01.2023;C;1855100000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;3592;;20.46
01.2023;T;1855100000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;3592;0;20.46
01.2023;C;1855100000;14021900;Пальне;16000;;10434.59
01.2023;T;1855100000;14021900;Пальне;16000;0;10434.59
01.2023;C;1855100000;14031900;Пальне;950000;;141831.94
01.2023;T;1855100000;14031900;Пальне;950000;0;141831.94
