REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2022;C;25519000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;12715000;;749736.43
01.2022;T;25519000000;41053900;Інші субвенції з місцевого бюджету;6700;0;0
01.2022;C;25519000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;4500000;;25632.76
01.2022;T;25519000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;4500000;0;25632.76
01.2022;C;25519000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;0;;1832.98
01.2022;T;25519000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;0;0;1832.98
01.2022;C;25519000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;770000;;0
01.2022;T;25519000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;770000;0;0
01.2022;C;25519000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);300000;;0
01.2022;T;25519000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);300000;0;0
01.2022;C;25519000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;;146.67
01.2022;T;25519000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;0;146.67
01.2022;C;25519000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;179000;;13335
01.2022;T;25519000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;179000;0;13335
01.2022;C;25519000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;6700;;1780.15
01.2022;T;25519000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;6700;0;1780.15
01.2022;C;25519000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;3000;;7827
01.2022;T;25519000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;3000;0;7827
01.2022;C;25519000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;20000;;2182.1
01.2022;T;25519000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;20000;0;2182.1
01.2022;C;25519000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;110000;;10911.29
01.2022;T;25519000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;110000;0;10911.29
01.2022;C;25519000000;18010500;Земельний податок з юридичних осіб;103000;;3156.01
01.2022;T;25519000000;18010500;Земельний податок з юридичних осіб;103000;0;3156.01
01.2022;C;25519000000;18010600;Орендна плата з юридичних осіб;5600000;;1199790.59
01.2022;T;25519000000;18010600;Орендна плата з юридичних осіб;5600000;0;1199790.59
01.2022;C;25519000000;18010700;Земельний податок з фізичних осіб;280000;;8006.73
01.2022;T;25519000000;18010700;Земельний податок з фізичних осіб;280000;0;8006.73
01.2022;C;25519000000;18010900;Орендна плата з фізичних осіб;300000;;1124.87
01.2022;T;25519000000;18010900;Орендна плата з фізичних осіб;300000;0;1124.87
