REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2023;C;2550900000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);1534782;;1383737.5
01.2023;T;2550900000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);1534782;0;1383737.5
01.2023;C;2550900000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;1500;;1187.66
01.2023;T;2550900000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;1500;0;1187.66
01.2023;C;2550900000;14021900;Пальне;0;;25023.75
01.2023;T;2550900000;14021900;Пальне;0;0;25023.75
01.2023;C;2550900000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;14500000;;1032687.35
01.2023;T;2550900000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;14500000;0;1032687.35
01.2023;C;2550900000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;91414300;;23076042.44
01.2023;T;2550900000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;91414300;0;23076042.44
01.2023;C;2550900000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;1035200;;185153.74
01.2023;T;2550900000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;1035200;0;185153.74
01.2023;C;2550900000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;116700;;12919.39
01.2023;T;2550900000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;116700;0;12919.39
01.2023;C;2550900000;41051200;Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету;47460;;4000
01.2023;T;2550900000;41051200;Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету;47460;0;4000
01.2023;C;2550900000;41053900;Інші субвенції з місцевого бюджету;2387531;;180205
01.2023;T;2550900000;41053900;Інші субвенції з місцевого бюджету;2387531;0;180205
01.2023;S;2550900000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1027400;1036676.7;13204.75
01.2023;T;2550900000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1027400;1036676.7;13204.75
01.2023;C;2550900000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;19498100;;1523700
01.2023;T;2550900000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;19498100;0;1523700
01.2023;C;2550900000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;84000;;0
01.2023;T;2550900000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;84000;0;0
01.2023;C;2550900000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;6200;;1356.23
01.2023;T;2550900000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;6200;0;1356.23
01.2023;C;2550900000;24060300;Інші надходження;10280;;635.55
01.2023;T;2550900000;24060300;Інші надходження;10280;0;635.55
01.2023;C;2550900000;22012500;Плата за надання інших адміністративних послуг;3000;;1715.82
01.2023;T;2550900000;22012500;Плата за надання інших адміністративних послуг;3000;0;1715.82
01.2023;C;2550900000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;581700;;25544
01.2023;T;2550900000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;581700;0;25544
01.2023;C;2550900000;22012900;Плата за скорочення термінів надання послуг у сфері державної реєстрації речових прав на нерухоме майно та їх обтяжень і державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань, а також плата за надання інших платних послуг, пов'язаних з такою державною реєстрацією;120;;0
01.2023;T;2550900000;22012900;Плата за скорочення термінів надання послуг у сфері державної реєстрації речових прав на нерухоме майно та їх обтяжень і державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань, а також плата за надання інших платних послуг, пов'язаних з такою державною реєстрацією;120;0;0
01.2023;S;2550900000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;3000;0;3030.65
01.2023;T;2550900000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;3000;0;3030.65
01.2023;C;2550900000;21081100;Адміністративні штрафи та інші санкції;10000;;0
01.2023;T;2550900000;21081100;Адміністративні штрафи та інші санкції;10000;0;0
01.2023;C;2550900000;21081500;"Штрафні санкції, що застосовуються відповідно до Закону України ""Про державне регулювання виробництва і обігу спирту етилового, коньячного і плодового, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, та пального""";10000;;0
01.2023;T;2550900000;21081500;"Штрафні санкції, що застосовуються відповідно до Закону України ""Про державне регулювання виробництва і обігу спирту етилового, коньячного і плодового, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, та пального""";10000;0;0
01.2023;C;2550900000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;500;;0
01.2023;T;2550900000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;500;0;0
01.2023;C;2550900000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";436200;;196193.67
01.2023;T;2550900000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";436200;0;196193.67
01.2023;S;2550900000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);1270;0;255.09
01.2023;T;2550900000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);1270;0;255.09
01.2023;S;2550900000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;800;0;2400
01.2023;T;2550900000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;800;0;2400
01.2023;C;2550900000;18010900;Орендна плата з фізичних осіб;118000;;191332.82
01.2023;T;2550900000;18010900;Орендна плата з фізичних осіб;118000;0;191332.82
01.2023;C;2550900000;18030200;Туристичний збір, сплачений фізичними особами;35000;;15979.5
01.2023;T;2550900000;18030200;Туристичний збір, сплачений фізичними особами;35000;0;15979.5
01.2023;C;2550900000;18050300;Єдиний податок з юридичних осіб;928400;;93177.73
01.2023;T;2550900000;18050300;Єдиний податок з юридичних осіб;928400;0;93177.73
01.2023;C;2550900000;18050400;Єдиний податок з фізичних осіб;3870000;;572557.88
01.2023;T;2550900000;18050400;Єдиний податок з фізичних осіб;3870000;0;572557.88
01.2023;C;2550900000;18010500;Земельний податок з юридичних осіб;359500;;24372.76
01.2023;T;2550900000;18010500;Земельний податок з юридичних осіб;359500;0;24372.76
01.2023;C;2550900000;18010600;Орендна плата з юридичних осіб;978000;;119281.39
01.2023;T;2550900000;18010600;Орендна плата з юридичних осіб;978000;0;119281.39
01.2023;C;2550900000;18010700;Земельний податок з фізичних осіб;48000;;2568.54
01.2023;T;2550900000;18010700;Земельний податок з фізичних осіб;48000;0;2568.54
01.2023;C;2550900000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;28000;;3188.22
01.2023;T;2550900000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;28000;0;3188.22
01.2023;C;2550900000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;36800;;709.01
01.2023;T;2550900000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;36800;0;709.01
01.2023;C;2550900000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;61000;;20671.53
01.2023;T;2550900000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;61000;0;20671.53
01.2023;C;2550900000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;510000;;164590.58
01.2023;T;2550900000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;510000;0;164590.58
