REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2024;S;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
01.2024;T;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
01.2024;S;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1947600;63830.68
01.2024;T;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1947600;63830.68
01.2024;S;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;66959.92;66959.92
01.2024;T;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;66959.92;66959.92
01.2024;C;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;;1115200
01.2024;T;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;0;1115200
01.2024;C;2555500000;41053900;Інші субвенції з місцевого бюджету;10500;;0
01.2024;T;2555500000;41053900;Інші субвенції з місцевого бюджету;10500;0;0
01.2024;C;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;;1640995.57
01.2024;T;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;0;1640995.57
01.2024;C;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;;129296.85
01.2024;T;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;0;129296.85
01.2024;C;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;;7858.04
01.2024;T;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;0;7858.04
01.2024;C;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;;0
01.2024;T;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;0;0
01.2024;C;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;;0
01.2024;T;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;0;0
01.2024;C;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;;3023.95
01.2024;T;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;0;3023.95
01.2024;C;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2709600;;164817.38
01.2024;T;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2709600;0;164817.38
01.2024;C;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;;27695.89
01.2024;T;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;0;27695.89
01.2024;C;2555500000;14021900;Пальне;124300;;7817.16
01.2024;T;2555500000;14021900;Пальне;124300;0;7817.16
01.2024;C;2555500000;14031900;Пальне;444600;;47924.17
01.2024;T;2555500000;14031900;Пальне;444600;0;47924.17
01.2024;C;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;;38713.67
01.2024;T;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;0;38713.67
01.2024;C;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;;32474
01.2024;T;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;0;32474
01.2024;C;2555500000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;74400;;14989.59
01.2024;T;2555500000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;74400;0;14989.59
01.2024;C;2555500000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;1020;;22.17
01.2024;T;2555500000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;1020;0;22.17
01.2024;C;2555500000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;194400;;10306.06
01.2024;T;2555500000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;194400;0;10306.06
01.2024;C;2555500000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;1673200;;396564.53
01.2024;T;2555500000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;1673200;0;396564.53
01.2024;C;2555500000;18010500;Земельний податок з юридичних осіб;1030800;;65904.26
01.2024;T;2555500000;18010500;Земельний податок з юридичних осіб;1030800;0;65904.26
01.2024;C;2555500000;18010600;Орендна плата з юридичних осіб;2407200;;193291.19
01.2024;T;2555500000;18010600;Орендна плата з юридичних осіб;2407200;0;193291.19
01.2024;C;2555500000;18010700;Земельний податок з фізичних осіб;590400;;6581.99
01.2024;T;2555500000;18010700;Земельний податок з фізичних осіб;590400;0;6581.99
01.2024;C;2555500000;18010900;Орендна плата з фізичних осіб;475530;;1931.45
01.2024;T;2555500000;18010900;Орендна плата з фізичних осіб;475530;0;1931.45
01.2024;C;2555500000;18011100;Транспортний податок з юридичних осіб;50;;0
01.2024;T;2555500000;18011100;Транспортний податок з юридичних осіб;50;0;0
01.2024;C;2555500000;18050300;Єдиний податок з юридичних осіб;366000;;10097.3
01.2024;T;2555500000;18050300;Єдиний податок з юридичних осіб;366000;0;10097.3
01.2024;C;2555500000;18050400;Єдиний податок з фізичних осіб;3995990;;709529.78
01.2024;T;2555500000;18050400;Єдиний податок з фізичних осіб;3995990;0;709529.78
01.2024;C;2555500000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";783200;;168776.92
01.2024;T;2555500000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";783200;0;168776.92
01.2024;S;2555500000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);17900;0;483.68
01.2024;T;2555500000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);17900;0;483.68
01.2024;S;2555500000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;1500;0;435.48
01.2024;T;2555500000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;1500;0;435.48
01.2024;S;2555500000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;36000;0;0
01.2024;T;2555500000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;36000;0;0
01.2024;C;2555500000;21081100;Адміністративні штрафи та інші санкції;20050;;3060
01.2024;T;2555500000;21081100;Адміністративні штрафи та інші санкції;20050;0;3060
01.2024;C;2555500000;22012500;Плата за надання інших адміністративних послуг;16500;;1150.8
01.2024;T;2555500000;22012500;Плата за надання інших адміністративних послуг;16500;0;1150.8
01.2024;C;2555500000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;346000;;24890
01.2024;T;2555500000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;346000;0;24890
01.2024;C;2555500000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;2256000;;338172.31
01.2024;T;2555500000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;2256000;0;338172.31
01.2024;C;2555500000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;;3.7
01.2024;T;2555500000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;0;3.7
02.2024;S;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
02.2024;T;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
02.2024;S;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1907145;144687.15
02.2024;T;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1907145;144687.15
02.2024;S;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;298479.2;298479.2
02.2024;T;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;298479.2;298479.2
02.2024;S;2555500000;33010500;"Кошти від викупу земельних ділянок сільськогосподарського призначення державної та комунальної власності, передбачених пунктом 6-1 розділу X ""Перехідні положення"" Земельного кодексу України";0;0;826.2
02.2024;T;2555500000;33010500;"Кошти від викупу земельних ділянок сільськогосподарського призначення державної та комунальної власності, передбачених пунктом 6-1 розділу X ""Перехідні положення"" Земельного кодексу України";0;0;826.2
02.2024;C;2555500000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;4721900;;0
02.2024;T;2555500000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;4721900;0;0
02.2024;C;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;;2230200
02.2024;T;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;0;2230200
02.2024;S;2555500000;41051100;Субвенція з місцевого бюджету за рахунок залишку коштів освітньої субвенції, що утворився на початок бюджетного періоду;197399;0;0
02.2024;T;2555500000;41051100;Субвенція з місцевого бюджету за рахунок залишку коштів освітньої субвенції, що утворився на початок бюджетного періоду;197399;0;0
02.2024;C;2555500000;41053900;Інші субвенції з місцевого бюджету;10500;;1800
02.2024;T;2555500000;41053900;Інші субвенції з місцевого бюджету;10500;0;1800
02.2024;C;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;;3219301.79
02.2024;T;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;0;3219301.79
02.2024;C;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;;174218.21
02.2024;T;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;0;174218.21
02.2024;C;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;;88825.55
02.2024;T;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;0;88825.55
02.2024;C;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;;37307
02.2024;T;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;0;37307
02.2024;C;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;;0
02.2024;T;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;0;0
02.2024;C;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;;6455.37
02.2024;T;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;0;6455.37
02.2024;C;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2709600;;370866.35
02.2024;T;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2709600;0;370866.35
02.2024;C;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;;56592.07
02.2024;T;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;0;56592.07
02.2024;C;2555500000;14021900;Пальне;124300;;14367.72
02.2024;T;2555500000;14021900;Пальне;124300;0;14367.72
02.2024;C;2555500000;14031900;Пальне;444600;;84798.27
02.2024;T;2555500000;14031900;Пальне;444600;0;84798.27
02.2024;C;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;;55350.96
02.2024;T;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;0;55350.96
02.2024;C;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;;58504
02.2024;T;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;0;58504
02.2024;C;2555500000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;74400;;14989.59
02.2024;T;2555500000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;74400;0;14989.59
02.2024;C;2555500000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;1020;;1482
02.2024;T;2555500000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;1020;0;1482
02.2024;C;2555500000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;194400;;22124.45
02.2024;T;2555500000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;194400;0;22124.45
02.2024;C;2555500000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;1733200;;536564.53
02.2024;T;2555500000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;1733200;0;536564.53
02.2024;C;2555500000;18010500;Земельний податок з юридичних осіб;1030800;;131075.17
02.2024;T;2555500000;18010500;Земельний податок з юридичних осіб;1030800;0;131075.17
02.2024;C;2555500000;18010600;Орендна плата з юридичних осіб;2407200;;435079.08
02.2024;T;2555500000;18010600;Орендна плата з юридичних осіб;2407200;0;435079.08
02.2024;C;2555500000;18010700;Земельний податок з фізичних осіб;590400;;14291.98
02.2024;T;2555500000;18010700;Земельний податок з фізичних осіб;590400;0;14291.98
02.2024;C;2555500000;18010900;Орендна плата з фізичних осіб;475530;;23778.1
02.2024;T;2555500000;18010900;Орендна плата з фізичних осіб;475530;0;23778.1
02.2024;C;2555500000;18011100;Транспортний податок з юридичних осіб;50;;0
02.2024;T;2555500000;18011100;Транспортний податок з юридичних осіб;50;0;0
02.2024;C;2555500000;18050300;Єдиний податок з юридичних осіб;366000;;245620.22
02.2024;T;2555500000;18050300;Єдиний податок з юридичних осіб;366000;0;245620.22
02.2024;C;2555500000;18050400;Єдиний податок з фізичних осіб;3995990;;1630174.72
02.2024;T;2555500000;18050400;Єдиний податок з фізичних осіб;3995990;0;1630174.72
02.2024;C;2555500000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";783200;;168862.2
02.2024;T;2555500000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";783200;0;168862.2
02.2024;S;2555500000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);17900;0;4981.46
02.2024;T;2555500000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);17900;0;4981.46
02.2024;S;2555500000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;1500;0;435.48
02.2024;T;2555500000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;1500;0;435.48
02.2024;S;2555500000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;36000;0;8793.6
02.2024;T;2555500000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;36000;0;8793.6
02.2024;C;2555500000;21081100;Адміністративні штрафи та інші санкції;20050;;9860
02.2024;T;2555500000;21081100;Адміністративні штрафи та інші санкції;20050;0;9860
02.2024;C;2555500000;22012500;Плата за надання інших адміністративних послуг;16500;;2180.4
02.2024;T;2555500000;22012500;Плата за надання інших адміністративних послуг;16500;0;2180.4
02.2024;C;2555500000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;346000;;51180
02.2024;T;2555500000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;346000;0;51180
02.2024;C;2555500000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;2256000;;990168.7
02.2024;T;2555500000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;2256000;0;990168.7
02.2024;C;2555500000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;;7.27
02.2024;T;2555500000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;0;7.27
03.2024;C;2555500000;24060300;Інші надходження;0;;158467.93
03.2024;T;2555500000;24060300;Інші надходження;0;0;158467.93
03.2024;S;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
03.2024;T;2555500000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;770;0;0
03.2024;S;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1907145;225075.49
03.2024;T;2555500000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1947600;1907145;225075.49
03.2024;S;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;454315.21;454315.21
03.2024;T;2555500000;25020000;Інші джерела власних надходжень бюджетних установ;0;454315.21;454315.21
03.2024;C;2555500000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;4721900;;0
03.2024;T;2555500000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;4721900;0;0
03.2024;C;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;;3428000
03.2024;T;2555500000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;15363400;0;3428000
03.2024;S;2555500000;41051100;Субвенція з місцевого бюджету за рахунок залишку коштів освітньої субвенції, що утворився на початок бюджетного періоду;197399;0;197399
03.2024;T;2555500000;41051100;Субвенція з місцевого бюджету за рахунок залишку коштів освітньої субвенції, що утворився на початок бюджетного періоду;197399;0;197399
03.2024;C;2555500000;41053900;Інші субвенції з місцевого бюджету;21125;;2700
03.2024;T;2555500000;41053900;Інші субвенції з місцевого бюджету;21125;0;2700
03.2024;C;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;;5130322.28
03.2024;T;2555500000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;27697570;0;5130322.28
03.2024;C;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;;223618.99
03.2024;T;2555500000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;2316500;0;223618.99
03.2024;C;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;;78860.48
03.2024;T;2555500000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;122770;0;78860.48
03.2024;C;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;;237572
03.2024;T;2555500000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;1700;0;237572
03.2024;C;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;;0
03.2024;T;2555500000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;1050;0;0
03.2024;C;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;;6455.37
03.2024;T;2555500000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;33100;0;6455.37
03.2024;C;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2809600;;370866.35
03.2024;T;2555500000;13030700;Рентна плата за користування надрами для видобування нафти;2809600;0;370866.35
03.2024;C;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;;56592.07
03.2024;T;2555500000;13030800;Рентна плата за користування надрами для видобування природного газу;741100;0;56592.07
03.2024;C;2555500000;14021900;Пальне;124300;;22751.62
03.2024;T;2555500000;14021900;Пальне;124300;0;22751.62
03.2024;C;2555500000;14031900;Пальне;444600;;129222.72
03.2024;T;2555500000;14031900;Пальне;444600;0;129222.72
03.2024;C;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;;85636.5
03.2024;T;2555500000;14040100;Акцизний податок з реалізації виробниками та/або імпортерами, у тому числі в роздрібній торгівлі тютюнових виробів, тютюну та промислових замінників тютюну, рідин, що використовуються в електронних сигаретах, що оподатковується згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України;315100;0;85636.5
03.2024;C;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;;81498
03.2024;T;2555500000;14040200;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів (крім тих, що оподатковуються згідно з підпунктом 213.1.14 пункту 213.1 статті 213 Податкового кодексу України);271700;0;81498
03.2024;C;2555500000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;74400;;14989.59
