REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2022;C;18518000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;13096280;;1088545.19
01.2022;T;18518000000;50110000;Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади;100000;0;0
01.2022;C;18518000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;6986744;;360242.76
01.2022;T;18518000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;6986744;0;360242.76
01.2022;C;18518000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;75000;;480
01.2022;T;18518000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;75000;0;480
01.2022;C;18518000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;100;;0
01.2022;T;18518000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;100;0;0
01.2022;C;18518000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2380900;;53280
01.2022;T;18518000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2380900;0;53280
01.2022;C;18518000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);1755400;;380449.38
01.2022;T;18518000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);1755400;0;380449.38
01.2022;C;18518000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;260;;98.23
01.2022;T;18518000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;260;0;98.23
01.2022;C;18518000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;63400;;4001
01.2022;T;18518000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;63400;0;4001
01.2022;C;18518000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;36000;;0
01.2022;T;18518000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;36000;0;0
01.2022;C;18518000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;42600;;842.27
01.2022;T;18518000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;42600;0;842.27
01.2022;C;18518000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;284000;;24880.81
01.2022;T;18518000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;284000;0;24880.81
01.2022;C;18518000000;18010500;Земельний податок з юридичних осіб;370000;;32958.73
01.2022;T;18518000000;18010500;Земельний податок з юридичних осіб;370000;0;32958.73
01.2022;C;18518000000;18010600;Орендна плата з юридичних осіб;5880774;;1196111.82
01.2022;T;18518000000;18010600;Орендна плата з юридичних осіб;5880774;0;1196111.82
01.2022;C;18518000000;18010700;Земельний податок з фізичних осіб;69600;;407.89
01.2022;T;18518000000;18010700;Земельний податок з фізичних осіб;69600;0;407.89
01.2022;C;18518000000;18010900;Орендна плата з фізичних осіб;584680;;23215.83
01.2022;T;18518000000;18010900;Орендна плата з фізичних осіб;584680;0;23215.83
01.2022;C;18518000000;18050300;Єдиний податок з юридичних осіб;10500;;11900
01.2022;T;18518000000;18050300;Єдиний податок з юридичних осіб;10500;0;11900
01.2022;C;18518000000;18050400;Єдиний податок з фізичних осіб;1455000;;147337.91
01.2022;T;18518000000;18050400;Єдиний податок з фізичних осіб;1455000;0;147337.91
01.2022;C;18518000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";3260000;;163048.82
01.2022;T;18518000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";3260000;0;163048.82
01.2022;S;18518000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);12000;0;52.77
01.2022;T;18518000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);12000;0;52.77
01.2022;C;18518000000;21081100;Адміністративні штрафи та інші санкції;358;;340
01.2022;T;18518000000;21081100;Адміністративні штрафи та інші санкції;358;0;340
01.2022;C;18518000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;8000;;0
01.2022;T;18518000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;8000;0;0
01.2022;C;18518000000;22012500;Плата за надання інших адміністративних послуг;1200;;496.31
01.2022;T;18518000000;22012500;Плата за надання інших адміністративних послуг;1200;0;496.31
01.2022;C;18518000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;1400000;;119640
01.2022;T;18518000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;1400000;0;119640
01.2022;C;18518000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;1500;;15.94
01.2022;T;18518000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;1500;0;15.94
01.2022;C;18518000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;3894;;0
01.2022;T;18518000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;3894;0;0
01.2022;S;18518000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;13000;0;472.41
01.2022;T;18518000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;13000;0;472.41
01.2022;S;18518000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;275608;344274.75;72264.75
01.2022;T;18518000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;275608;344274.75;72264.75
01.2022;C;18518000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;13521900;;1041200
01.2022;T;18518000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;13521900;0;1041200
01.2022;C;18518000000;41053900;Інші субвенції з місцевого бюджету;123235;;10270
01.2022;T;18518000000;41053900;Інші субвенції з місцевого бюджету;123235;0;10270
01.2022;S;18518000000;50110000;Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади;100000;0;0
01.2022;T;18518000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;13096280;0;1088545.19
02.2022;C;18518000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;13096280;;2160569.81
02.2022;T;18518000000;50110000;Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади;100000;0;0
02.2022;C;18518000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;6986744;;888061.97
02.2022;T;18518000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;6986744;0;888061.97
02.2022;C;18518000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;75000;;1760.56
02.2022;T;18518000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;75000;0;1760.56
02.2022;C;18518000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;100;;0
02.2022;T;18518000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;100;0;0
02.2022;C;18518000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2380900;;183150
02.2022;T;18518000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;2380900;0;183150
