REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2024;S;2050600000;33010400;Кошти від продажу земельних ділянок несільськогосподарського призначення до розмежування земель державної та комунальної власності з розстроченням платежу;0;0;15000
01.2024;T;2050600000;33010400;Кошти від продажу земельних ділянок несільськогосподарського призначення до розмежування земель державної та комунальної власності з розстроченням платежу;0;0;15000
01.2024;C;2050600000;41020100;Базова дотація;15841300;;1320100
01.2024;T;2050600000;41020100;Базова дотація;15841300;0;1320100
01.2024;C;2050600000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;5661900;;943700
01.2024;T;2050600000;41021400;Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень органів місцевого самоврядування на деокупованих, тимчасово окупованих та інших територіях України, що зазнали негативного впливу у зв'язку з повномасштабною збройною агресією Російської Федерації;5661900;0;943700
01.2024;C;2050600000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;17666100;;1282300
01.2024;T;2050600000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;17666100;0;1282300
01.2024;C;2050600000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;810400;;67533
01.2024;T;2050600000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;810400;0;67533
01.2024;C;2050600000;41053900;Інші субвенції з місцевого бюджету;133660;;0
01.2024;T;2050600000;41053900;Інші субвенції з місцевого бюджету;133660;0;0
01.2024;C;2050600000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;16000000;;1675423.75
01.2024;T;2050600000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;16000000;0;1675423.75
01.2024;C;2050600000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;800000;;72106.49
01.2024;T;2050600000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;800000;0;72106.49
01.2024;C;2050600000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;500000;;58796.95
01.2024;T;2050600000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;500000;0;58796.95
01.2024;C;2050600000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);30000;;0
