REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2022;C;20505000000;21080900;Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг;11000;;0
01.2022;T;20505000000;21080900;Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг;11000;0;0
01.2022;C;20505000000;21081100;Адміністративні штрафи та інші санкції;80000;;3016
01.2022;T;20505000000;21081100;Адміністративні штрафи та інші санкції;80000;0;3016
01.2022;C;20505000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;95000;;0
01.2022;T;20505000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;95000;0;0
01.2022;C;20505000000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;82000;;2220
01.2022;T;20505000000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;82000;0;2220
01.2022;C;20505000000;22012500;Плата за надання інших адміністративних послуг;750000;;33765.26
01.2022;T;20505000000;22012500;Плата за надання інших адміністративних послуг;750000;0;33765.26
01.2022;C;20505000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;320000;;2650
01.2022;T;20505000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;320000;0;2650
01.2022;C;20505000000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;122000;;14238.7
01.2022;T;20505000000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;122000;0;14238.7
01.2022;C;20505000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;22000;;529.42
01.2022;T;20505000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;22000;0;529.42
01.2022;C;20505000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;21000;;1020
01.2022;T;20505000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;21000;0;1020
01.2022;C;20505000000;24060300;Інші надходження;82000;;50819.03
01.2022;T;20505000000;24060300;Інші надходження;82000;0;50819.03
01.2022;S;20505000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;3500;0;81483.32
01.2022;T;20505000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;3500;0;81483.32
01.2022;S;20505000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1248525;2756525;172239.35
01.2022;T;20505000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1248525;2756525;172239.35
01.2022;S;20505000000;25020000;Інші джерела власних надходжень бюджетних установ;0;36627.91;40936.05
01.2022;T;20505000000;25020000;Інші джерела власних надходжень бюджетних установ;0;36627.91;40936.05
01.2022;S;20505000000;33010100;Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим;30000;0;0
01.2022;T;20505000000;33010100;Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим;30000;0;0
01.2022;C;20505000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;65548900;;5047300
01.2022;T;20505000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;65548900;0;5047300
01.2022;C;20505000000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;1002800;;83600
01.2022;T;20505000000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;1002800;0;83600
01.2022;C;20505000000;41051000;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції;1737602;;81000
01.2022;T;20505000000;41051000;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції;1737602;0;81000
01.2022;S;20505000000;41053400;Субвенція з місцевого бюджету на виконання інвестиційних проектів;3000000;0;0
01.2022;T;20505000000;41053400;Субвенція з місцевого бюджету на виконання інвестиційних проектів;3000000;0;0
01.2022;C;20505000000;41053900;Інші субвенції з місцевого бюджету;2069695;;56730
01.2022;T;20505000000;41053900;Інші субвенції з місцевого бюджету;2069695;0;56730
01.2022;C;20505000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;70537115;;4741224.46
01.2022;T;20505000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;70537115;0;4741224.46
01.2022;C;20505000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;8226800;;554768.22
01.2022;T;20505000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;8226800;0;554768.22
01.2022;C;20505000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;8515000;;146510.31
01.2022;T;20505000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;8515000;0;146510.31
01.2022;C;20505000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1310000;;-5165.24
01.2022;T;20505000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1310000;0;-5165.24
01.2022;C;20505000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;2000;;0
01.2022;T;20505000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;2000;0;0
01.2022;C;20505000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;212400;;0
01.2022;T;20505000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;212400;0;0
01.2022;C;20505000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);2124000;;0
01.2022;T;20505000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);2124000;0;0
01.2022;C;20505000000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;14975;;0
01.2022;T;20505000000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;14975;0;0
01.2022;C;20505000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;345150;;-928.96
01.2022;T;20505000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;345150;0;-928.96
01.2022;C;20505000000;13030800;Рентна плата за користування надрами для видобування природного газу;21900000;;5783224.64
01.2022;T;20505000000;13030800;Рентна плата за користування надрами для видобування природного газу;21900000;0;5783224.64
01.2022;C;20505000000;13030900;Рентна плата за користування надрами для видобування газового конденсату;990610;;85323.11
01.2022;T;20505000000;13030900;Рентна плата за користування надрами для видобування газового конденсату;990610;0;85323.11
01.2022;C;20505000000;14021900;Пальне;1300950;;0
01.2022;T;20505000000;14021900;Пальне;1300950;0;0
01.2022;C;20505000000;14031900;Пальне;4370130;;0
01.2022;T;20505000000;14031900;Пальне;4370130;0;0
01.2022;C;20505000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;2503555;;235415
01.2022;T;20505000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;2503555;0;235415
01.2022;C;20505000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;52000;;4787.25
01.2022;T;20505000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;52000;0;4787.25
01.2022;C;20505000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;80000;;15045.19
01.2022;T;20505000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;80000;0;15045.19
01.2022;C;20505000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;1180000;;192456.71
01.2022;T;20505000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;1180000;0;192456.71
01.2022;C;20505000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;3600000;;612608.86
01.2022;T;20505000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;3600000;0;612608.86
01.2022;C;20505000000;18010500;Земельний податок з юридичних осіб;5900000;;457413.12
01.2022;T;20505000000;18010500;Земельний податок з юридичних осіб;5900000;0;457413.12
01.2022;C;20505000000;18010600;Орендна плата з юридичних осіб;9550000;;739945.41
01.2022;T;20505000000;18010600;Орендна плата з юридичних осіб;9550000;0;739945.41
01.2022;C;20505000000;18010700;Земельний податок з фізичних осіб;720000;;912.52
01.2022;T;20505000000;18010700;Земельний податок з фізичних осіб;720000;0;912.52
01.2022;C;20505000000;18010900;Орендна плата з фізичних осіб;2000000;;37587.92
01.2022;T;20505000000;18010900;Орендна плата з фізичних осіб;2000000;0;37587.92
01.2022;C;20505000000;18011000;Транспортний податок з фізичних осіб;25000;;0
01.2022;T;20505000000;18011000;Транспортний податок з фізичних осіб;25000;0;0
01.2022;C;20505000000;18030200;Туристичний збір, сплачений фізичними особами;3000;;0
01.2022;T;20505000000;18030200;Туристичний збір, сплачений фізичними особами;3000;0;0
01.2022;C;20505000000;18050300;Єдиний податок з юридичних осіб;2276125;;266530.49
01.2022;T;20505000000;18050300;Єдиний податок з юридичних осіб;2276125;0;266530.49
01.2022;C;20505000000;18050400;Єдиний податок з фізичних осіб;14570040;;1355662.18
01.2022;T;20505000000;18050400;Єдиний податок з фізичних осіб;14570040;0;1355662.18
01.2022;C;20505000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";6042375;;1377458.11
01.2022;T;20505000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";6042375;0;1377458.11
01.2022;S;20505000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);150000;0;4486.37
01.2022;T;20505000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);150000;0;4486.37
01.2022;S;20505000000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;8700;0;32.23
01.2022;T;20505000000;19010200;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти;8700;0;32.23
01.2022;S;20505000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;53000;0;214.55
01.2022;T;20505000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;53000;0;214.55
01.2022;C;20505000000;21010300;Частина чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного місцевого бюджету;100;;0
01.2022;T;20505000000;21010300;Частина чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного місцевого бюджету;100;0;0
01.2022;C;20505000000;21050000;Плата за розміщення тимчасово вільних коштів місцевих бюджетів;63675;;0
01.2022;T;20505000000;21050000;Плата за розміщення тимчасово вільних коштів місцевих бюджетів;63675;0;0
02.2022;C;20505000000;21050000;Плата за розміщення тимчасово вільних коштів місцевих бюджетів;63675;;0
02.2022;T;20505000000;21050000;Плата за розміщення тимчасово вільних коштів місцевих бюджетів;63675;0;0
02.2022;C;20505000000;21080900;Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг;11000;;-5105.8
02.2022;T;20505000000;21080900;Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг;11000;0;-5105.8
02.2022;C;20505000000;21081100;Адміністративні штрафи та інші санкції;80000;;5260
02.2022;T;20505000000;21081100;Адміністративні штрафи та інші санкції;80000;0;5260
02.2022;C;20505000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;95000;;0
02.2022;T;20505000000;21081500;Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів;95000;0;0
02.2022;C;20505000000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;82000;;22210
02.2022;T;20505000000;22010300;Адміністративний збір за проведення державної реєстрації юридичних осіб, фізичних осіб - підприємців та громадських формувань;82000;0;22210
02.2022;C;20505000000;22012500;Плата за надання інших адміністративних послуг;750000;;107985.58
02.2022;T;20505000000;22012500;Плата за надання інших адміністративних послуг;750000;0;107985.58
02.2022;C;20505000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;320000;;62340
02.2022;T;20505000000;22012600;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень;320000;0;62340
02.2022;C;20505000000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;122000;;22949.12
02.2022;T;20505000000;22080400;Надходження від орендної плати за користування майновим комплексом та іншим майном, що перебуває в комунальній власності;122000;0;22949.12
02.2022;C;20505000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;22000;;666.95
02.2022;T;20505000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;22000;0;666.95
02.2022;C;20505000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;21000;;2227
02.2022;T;20505000000;22090400;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України;21000;0;2227
02.2022;C;20505000000;24060300;Інші надходження;82000;;54049.09
02.2022;T;20505000000;24060300;Інші надходження;82000;0;54049.09
02.2022;S;20505000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;3500;0;81533.32
02.2022;T;20505000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;3500;0;81533.32
02.2022;S;20505000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1248525;2756525;277857.15
02.2022;T;20505000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;1248525;2756525;277857.15
02.2022;S;20505000000;25020000;Інші джерела власних надходжень бюджетних установ;0;91527.91;101926.59
02.2022;T;20505000000;25020000;Інші джерела власних надходжень бюджетних установ;0;91527.91;101926.59
02.2022;S;20505000000;33010100;Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим;30000;0;0
02.2022;T;20505000000;33010100;Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим;30000;0;0
02.2022;C;20505000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;65548900;;10094600
02.2022;T;20505000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;65548900;0;10094600
02.2022;C;20505000000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;1002800;;167200
02.2022;T;20505000000;41040200;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету;1002800;0;167200
02.2022;C;20505000000;41051000;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції;1737602;;164200
02.2022;T;20505000000;41051000;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції;1737602;0;164200
02.2022;S;20505000000;41053400;Субвенція з місцевого бюджету на виконання інвестиційних проектів;3000000;0;0
02.2022;T;20505000000;41053400;Субвенція з місцевого бюджету на виконання інвестиційних проектів;3000000;0;0
02.2022;C;20505000000;41053900;Інші субвенції з місцевого бюджету;2069695;;263460
02.2022;T;20505000000;41053900;Інші субвенції з місцевого бюджету;2069695;0;263460
02.2022;C;20505000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;70537115;;10922323.41
02.2022;T;20505000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;70537115;0;10922323.41
02.2022;C;20505000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;8226800;;1154031.81
02.2022;T;20505000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;8226800;0;1154031.81
02.2022;C;20505000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;8515000;;274679.05
02.2022;T;20505000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;8515000;0;274679.05
02.2022;C;20505000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1310000;;207557.41
02.2022;T;20505000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1310000;0;207557.41
02.2022;C;20505000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;2000;;0
02.2022;T;20505000000;11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;2000;0;0
02.2022;C;20505000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;212400;;26117.78
02.2022;T;20505000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;212400;0;26117.78
02.2022;C;20505000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);2124000;;885346.09
02.2022;T;20505000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);2124000;0;885346.09
02.2022;C;20505000000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;14975;;0
02.2022;T;20505000000;13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;14975;0;0
02.2022;C;20505000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;345150;;81736.36
02.2022;T;20505000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;345150;0;81736.36
02.2022;C;20505000000;13030800;Рентна плата за користування надрами для видобування природного газу;21900000;;7598299.54
02.2022;T;20505000000;13030800;Рентна плата за користування надрами для видобування природного газу;21900000;0;7598299.54
02.2022;C;20505000000;13030900;Рентна плата за користування надрами для видобування газового конденсату;990610;;187787.4
02.2022;T;20505000000;13030900;Рентна плата за користування надрами для видобування газового конденсату;990610;0;187787.4
02.2022;C;20505000000;13040100;Рентна плата за користування надрами для видобування корисних копалин місцевого значення;0;;5375.3
02.2022;T;20505000000;13040100;Рентна плата за користування надрами для видобування корисних копалин місцевого значення;0;0;5375.3
02.2022;C;20505000000;14021900;Пальне;1300950;;0
02.2022;T;20505000000;14021900;Пальне;1300950;0;0
02.2022;C;20505000000;14031900;Пальне;4370130;;0
02.2022;T;20505000000;14031900;Пальне;4370130;0;0
02.2022;C;20505000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;2503555;;364023
02.2022;T;20505000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;2503555;0;364023
02.2022;C;20505000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;52000;;7674.75
02.2022;T;20505000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;52000;0;7674.75
02.2022;C;20505000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;80000;;20587.06
